IRC = 0
H 0.1498186139 2.6013565447 -0.8189018368
H 0.6257623096 -0.2032570366 -2.5133926652
H 1.8700523479 -0.2079769711 -1.4974453348
H -1.1715683211 0.2856012961 2.7104933553
H -2.4918957471 0.2664100095 1.8507768610
H -2.4692945351 0.7552535985 -1.4406919194
H -2.5109151869 -0.8100876698 -1.3036156879
O 3.4632272179 -0.3183988273 -0.7120333341
H 2.1171739916 -0.0205350429 1.4045716921
H -0.8336044723 -2.5589396259 0.9347505744
H -0.0376148078 -2.6800656542 -0.3941345814
H 4.3683605906 -0.3917081538 -1.0854942576
IRC = 16.188559
Fe -0.2366173316 0.0372349193 0.1594088347
O -1.5410752043 0.2238595981 1.8056075584
O 0.8944276361 -0.1441844581 -1.5701555444
O -0.4695897560 2.1450152577 -0.2204679012
O 1.1689062301 0.0663753726 1.2166192449
O -2.0183468153 -0.0070865682 -1.0577823253
O -0.6223015422 -2.0876458792 0.1257485667
H -0.6721174476 2.7516623521 0.5081950801
H 0.1590046355 2.6056263894 -0.7967844579
H 0.6317367279 -0.2054695457 -2.4988401973
H 1.8792083568 -0.2119848850 -1.4857742133
H -1.1955192025 0.2858173658 2.7093432106
H -2.5080873848 0.2607698822 1.8386731272
H -2.4490615062 0.7611168909 -1.4596959149
H -2.5008448645 -0.8039159629 -1.3212189425
O 3.4815642885 -0.3144417595 -0.7525468770
H 2.1036307791 0.0028977015 1.4533436187
H -0.8491008648 -2.5538381014 0.9449818921
H -0.0465005587 -2.6812729242 -0.3793793889
H 4.3732556747 -0.3996346033 -1.1546297490
IRC = 16.688126
Fe -0.2359969462 0.0362653988 0.1648654262
O -1.5593216284 0.2231879816 1.7982928484
O 0.9008063496 -0.1495566103 -1.5567817161
O -0.4695193516 2.1447534108 -0.2144196899
O 1.1615084632 0.0670580140 1.2309654209
O -2.0056873663 -0.0046145638 -1.0719358911
O -0.6294162083 -2.0862741601 0.1357027959
H -0.6884556825 2.7488917191 0.5115476906
H 0.1693621938 2.6087080116 -0.7766004269
H 0.6349827265 -0.2094975347 -2.4846096285
H 1.8873052888 -0.2148479616 -1.4764186992
H -1.2251816470 0.2867912497 2.7061325723
H -2.5267158590 0.2586161155 1.8198003270
H -2.4305099201 0.7651378610 -1.4770926694
H -2.4893556804 -0.7996565013 -1.3385413111
O 3.4962511368 -0.3105731326 -0.7941995601
H 2.0852680930 0.0174394869 1.5092801826
H -0.8679950480 -2.5481473952 0.9540120554
H -0.0483593993 -2.6834940009 -0.3591367826
H 4.3744331103 -0.3976155568 -1.2245624483
IRC = 17.188251
Fe -0.2351878360 0.0353966174 0.1706166376
O -1.5791638582 0.2234450825 1.7890334300
O 0.9063182750 -0.1540229134 -1.5441578970
O -0.4669040595 2.1444778013 -0.2083419848
O 1.1533930227 0.0672352078 1.2467076276
O -1.9940940267 -0.0031034515 -1.0842625958
O -0.6340881635 -2.0853814391 0.1449281129
H -0.6977675228 2.7469863162 0.5152500989
H 0.1800887984 2.6102432783 -0.7596591645
H 0.6362929036 -0.2139973458 -2.4707233416
H 1.8945246334 -0.2168939524 -1.4690724053
H -1.2585476263 0.2883799499 2.7015769394
H -2.5467625672 0.2589407081 1.7966214052
H -2.4141118598 0.7676014889 -1.4925661176
H -2.4773539733 -0.7970464552 -1.3548087327
O 3.5096536993 -0.3068039266 -0.8363441837
H 2.0639041767 0.0289399535 1.5666141241
H -0.8866297589 -2.5430290360 0.9613971467
H -0.0456734525 -2.6856279178 -0.3374562293
H 4.3741521927 -0.3936471026 -1.2935625321
IRC = 17.283115
Fe -0.2350427044 0.0352401437 0.1717436734
O -1.5830288470 0.2235906225 1.7871371258
O 0.9073155308 -0.1547769347 -1.5418134181
O -0.4662088746 2.1444171794 -0.2072318038
O 1.1517736364 0.0672240647 1.2498247903
O -1.9920032867 -0.0028998200 -1.0864308365
O -0.6347620849 -2.0852571511 0.1465709750
H -0.6989387715 2.7467180072 0.5159283736
H 0.1821460136 2.6103709653 -0.7567903331
H 0.6364154484 -0.2148404776 -2.4681094387
H 1.8958372886 -0.2172050098 -1.4678433052
H -1.2651118070 0.2887430255 2.7005984840
H -2.5506395274 0.2591948708 1.7919356154
H -2.4112084576 0.7679382595 -1.4953114944
H -2.4750824871 -0.7966880166 -1.3577472096
O 3.5121456774 -0.3061103993 -0.8443721269
H 2.0596103171 0.0308686407 1.5773619321
H -0.8899782781 -2.5421673106 0.9626157899
H -0.0448579854 -2.6859861790 -0.3334007265
H 4.3740281648 -0.3928434511 -1.3065162198
